Date,Step,종가_pred,대비_pred,등락률_pred,시가_pred,고가_pred,저가_pred,거래량_pred,거래대금_pred,시가총액_pred,상장주식수_pred,종가_actual
2025-12-02,142,59437.37336892984,9.976254550888157,0.05076055670065602,59445.53111834219,60159.18298985858,58847.298754338546,17837215.87664584,1072336407464.8818,352284389218697.44,5924643019.411576,104500.0
2025-12-03,143,59447.208369659864,9.83500073003303,0.05053795018486337,59455.479338941215,60169.17553697271,58857.067071099314,17840484.998512927,1072719805987.2393,352345180827717.0,5924680129.602907,105100.0
2025-12-04,144,59456.90357843172,9.695208771859612,0.050317465706521375,59465.28590631603,60179.026548758506,58866.69623482746,17843747.95542466,1073100008154.5884,352405129660501.1,5924717091.808583,108400.0
2025-12-05,145,59466.460446493016,9.556868061306446,0.05009908994261089,59474.952293142356,60188.737490418374,58876.18769271858,17847004.474642463,1073477028323.4336,352464244288353.3,5924753904.394091,109500.0
2025-12-08,146,59475.88041450138,9.419968008370475,0.04988280956744426,59484.47996132567,60198.30981651038,58885.54288137844,17850254.289270572,1073850880960.9121,352522533222066.9,5924790565.773115,108400.0
2025-12-09,147,59485.164912550725,9.284498049354411,0.049668611254880396,59493.8703620279,60207.744970973756,58894.76322684948,17853497.138177995,1074221580640.9562,352580004912041.56,5924827074.4068365,108000.0
2025-12-10,148,59494.31536019776,9.150447647041133,0.04945648167913039,59503.12493569532,60217.04438715494,58903.85014463811,17856732.765923917,1074589142040.6819,352636667748403.1,5924863428.803224,107300.0
2025-12-11,149,59503.33316648994,9.01780629218753,0.049246407517322094,59512.2451120867,60226.20948783475,58912.80503974278,17859960.922680154,1074953579936.6047,352692530061130.56,5924899627.516342,108900.0
2025-12-12,150,59512.2197299936,8.88656350366297,0.04903837545033504,59521.23231030276,60235.241685256035,58921.62930668279,17863181.364157185,1075314909201.0784,352747600120185.9,5924935669.145669,104800.0
2025-12-15,151,59520.976438823,8.756708829409277,0.04883237216438538,59530.08793881598,60244.14238115218,58930.32432952775,17866393.85153047,1075673144798.7887,352801886135649.2,5924971552.335411,102800.0
2025-12-16,152,59529.60467067013,8.628231847123757,0.04862838435280134,59538.813395501114,60252.91296677626,58938.89148192771,17869598.151366204,1076028301783.1857,352855396257859.0,5925007275.773835,107900.0
2025-12-17,153,59538.10579283505,8.501122164925178,0.04842639871714857,59547.4100676666,60261.55482293099,58947.33212714412,17872794.03554942,1076380395293.102,352908138577556.2,5925042838.192602,107600.0
2025-12-18,154,59546.48116225714,8.375369422095233,0.04822640196903136,59555.879332086435,60270.069319999275,58955.64761808123,17875981.28121119,1076729440549.3013,352960121126033.25,5925078238.366112,106300.0
2025-12-19,155,59554.732125546616,8.250963289479856,0.04802838083086755,59564.22255503296,60278.457817975446,58963.83929731838,17879159.67065867,1077075452851.2305,353011351875286.4,5925113475.110849,110500.0
2025-12-22,156,59562.86001901715,8.127893470541963,0.04783232203810281,59572.44109230983,60286.72166649719,58971.908497142635,17882328.9913031,1077418447573.6427,353061838738173.75,5925148547.284745,111500.0
2025-12-23,157,59570.86616871873,8.006149701574728,0.047638212339779024,59580.536289286254,60294.862204878096,58979.856539582295,17885489.035591282,1077758440163.4536,353111589568576.0,5925183453.786538,111100.0
2025-12-24,158,59578.75189047115,7.88572175242372,0.047446038500073534,59588.50948093122,60302.880762140696,58987.6847364408,17888639.600936368,1078095446136.5427,353160612161561.5,5925218193.555146,117000.0
2025-12-26,159,59586.51848989856,7.766599427423003,0.047255787300170965,59596.36199184858,60310.77865705038,58995.394389331355,17891780.489648078,1078429481074.5522,353208914253556.56,5925252765.569044,119500.0
2025-12-29,160,59594.1672624639,7.64877256534011,0.04706744553854966,59604.095136313,60318.55719814968,59002.98678971212,17894911.50886666,1078760560621.9115,353256503522517.3,5925287168.84565,119900.0
2025-12-30,161,59601.69949350437,7.532231040476077,0.046881000032859305,59611.71021830587,60326.21768379318,59010.46321892178,17898032.470495276,1079088700482.78,353303387588107.0,5925321402.440714,128500.0
2026-01-02,162,59609.116458267265,7.416964762911007,0.04669643762103867,59619.2085315522,60333.761402182994,59017.82494821587,17901143.191133182,1079413916418.0237,353349574011876.3,5925355465.44772,138100.0
2026-01-05,163,59616.41942194651,7.302963679252585,0.04651374516253956,59626.59135955796,60341.189631404886,59025.073238803525,17904243.492010415,1079736224242.3254,353395070297447.56,5925389356.997288,138900.0
2026-01-06,164,59623.60963971931,7.1902177728020575,0.046332909538959605,59633.85997564798,60348.5036394647,59032.20934188468,17907333.19892373,1080055639821.3569,353439883890701.1,5925423076.256587,141000.0
2026-01-07,165,59630.688356783816,7.078717064515345,0.046153917656085536,59641.01564300399,60355.70468432552,59039.234498687874,17910412.142170392,1080372179068.8228,353484022179967.3,5925456622.428756,138800.0
2026-01-08,166,59637.65680839695,6.968451613135372,0.04597675644430041,59648.05961470377,60362.79401394524,59046.149940508476,17913480.156486165,1080685857943.7844,353527492496219.75,5925489994.752323,139000.0
2026-01-09,167,59644.516219912715,6.859411515774141,0.045801412859874574,59654.99313376028,60369.772866314575,59052.95688874738,17916537.08098176,1080996692447.8844,353570302113272.7,5925523192.500643,138800.0
2026-01-12,168,59651.267806821255,6.751586908538471,0.04562787388630282,59661.81743316145,60376.642469495724,59059.656554950205,17919582.75907972,1081304698622.6075,353612458247981.8,5925556214.981331,137600.0
2026-01-13,169,59657.912774787896,6.644967966645041,0.04545612653477113,59668.53373591046,60383.404041661255,59066.25014084687,17922617.03845416,1081609892546.7141,353653968060446.8,5925589061.535709,140300.0
2026-01-14,170,59664.45231969302,6.539544905127983,0.0452861578457234,59675.14325506629,60390.058791133604,59072.73883839158,17925639.770968802,1081912290333.591,353694838654218.3,5925621731.538258,143900.0
